Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 08:14,070,100428660,070,100428660,3402.97,US Dollar,3402.97,US Dollar,Reinvestment,0
2022/09/01 09:02,070,100428660,011,800190210,9200.00,US Dollar,9200.00,US Dollar,Cheque,0
2022/09/01 09:35,011,800190210,070,100428660,1500.00,US Dollar,1500.00,US Dollar,ACH,0
2022/09/01 10:12,070,100428660,214,900332145,9400.00,US Dollar,9400.00,US Dollar,Wire,0
2022/09/01 10:47,070,100428660,214,900332145,9600.00,US Dollar,9600.00,US Dollar,Wire,1
2022/09/01 11:03,070,100428660,214,900332145,9800.00,US Dollar,9800.00,US Dollar,Wire,1
2022/09/02 08:20,214,900332145,349,700554321,28100.00,Euro,29500.00,US Dollar,Wire,1
2022/09/02 09:10,020,100254001,070,100428660,412.55,US Dollar,412.55,US Dollar,Credit Card,0
2022/09/02 12:40,070,100428660,020,100254001,412.55,US Dollar,412.55,US Dollar,ACH,0
2022/09/03 14:05,349,700554321,349,700554321,1050.00,Euro,1050.00,Euro,Reinvestment,0
2022/09/03 16:22,070,100428660,300,455600120,2100.00,Bitcoin,2100.00,US Dollar,Bitcoin,0
2022/09/04 09:15,011,800190210,011,800190210,88.20,US Dollar,88.20,US Dollar,Reinvestment,0
2022/09/04 10:44,300,455600120,070,100428660,700.00,US Dollar,700.00,US Dollar,ACH,0
2022/09/05 11:30,070,100428660,349,700554321,4999.99,Euro,5250.00,US Dollar,Wire,0
2022/09/05 13:01,020,100254001,214,900332145,150.75,US Dollar,150.75,US Dollar,Credit Card,0
2022/09/06 08:55,214,900332145,070,100428660,12000.00,US Dollar,12000.00,US Dollar,Wire,1
2022/09/06 09:40,070,100428660,011,800190210,11950.00,US Dollar,11950.00,US Dollar,Wire,1
2022/09/06 10:05,011,800190210,349,700554321,11350.00,Euro,11900.00,US Dollar,Wire,1
2022/09/07 15:12,020,100254001,020,100254001,63.10,US Dollar,63.10,US Dollar,Reinvestment,0
2022/09/07 16:48,070,100428660,020,100254001,220.00,US Dollar,220.00,US Dollar,Cheque,0
2022/09/08 09:33,349,700554321,070,100428660,850.00,US Dollar,801.10,Euro,Wire,0
2022/09/08 11:20,070,100428660,214,900332145,45.00,US Dollar,45.00,US Dollar,Credit Card,0
2022/09/09 10:10,011,800190210,020,100254001,1320.40,US Dollar,1320.40,US Dollar,ACH,0
2022/09/09 14:25,070,100428660,300,455600120,600.00,Bitcoin,600.00,US Dollar,Bitcoin,0
2022/09/10 08:05,300,455600120,300,455600120,25.00,US Dollar,25.00,US Dollar,Reinvestment,0
2022/09/10 12:50,214,900332145,011,800190210,780.00,US Dollar,780.00,US Dollar,Cheque,0
2022/09/11 09:44,070,100428660,070,100254002,315.75,US Dollar,315.75,US Dollar,ACH,0
2022/09/11 13:30,070,100254002,070,100428660,90.00,US Dollar,90.00,US Dollar,Cash,0
2022/09/12 10:15,020,100254001,349,700554321,2400.00,Euro,2520.00,US Dollar,Wire,0
2022/09/12 16:40,349,700554321,214,900332145,5100.00,US Dollar,4830.00,Euro,Wire,0
